Codigo do Municipio;Municipios;Territorio de Identidade;Ano;total_homens;total_mulheres;Total_urb                                                                          ;Homem_urb;Mulher_urb;Total_rural;Homem_rural;Mulher_rural
2906899;Caraíbas;Vitória da Conquista;1991;8609;8479;518;253;265;16570;8356;8214
2906907;Caravelas;Extremo Sul;1991;10042;9721;8932;4408;4524;10831;5634;5197
2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;1991;3263;3137;2274;1142;1132;4126;2121;2005
2907103;Carinhanha;Velho Chico;1991;13047;12518;7325;3516;3809;18240;9531;8709
2907202;Casa Nova;Sertão do São Francisco;1991;23738;23100;18482;9067;9415;28356;14671;13685
2907301;Castro Alves;Recôncavo;1991;12841;13932;13187;6053;7134;13586;6788;6798
2907400;Catolândia;Bacia do Rio Grande;1991;1675;1599;801;390;411;2473;1285;1188
2907509;Catu;Litoral Norte e Agreste Baiano;1991;21455;21975;33394;16229;17165;10036;5226;4810
2907558;Caturama;Bacia do Paramirim;1991;4786;4928;1192;552;640;8522;4234;4288
2907608;Central;Irecê;1991;7335;7361;6621;3208;3413;8075;4127;3948
2907707;Chorrochó;Itaparica;1991;4616;4987;1528;716;812;8075;3900;4175
2907806;Cícero Dantas;Semi-Árido Nordeste II;1991;13161;14040;12124;5663;6461;15077;7498;7579
2907905;Cipó;Semi-Árido Nordeste II;1991;5907;6366;7770;3667;4103;4503;2240;2263
2908002;Coaraci;Litoral Sul;1991;15594;15470;21659;10584;11075;9405;5010;4395
2908101;Côcos;Bacia do Rio Corrente;1991;8086;7897;4972;2391;2581;11011;5695;5316
2908200;Conceição da Feira;Portal do Sertão;1991;7759;8308;8035;3816;4219;8032;3943;4089
2908309;Conceição do Almeida;Recôncavo;1991;9182;9360;7659;3628;4031;10883;5554;5329
2908408;Conceição do Coité;Sisal;1991;26052;26286;20002;9534;10468;32336;16518;15818
2908507;Conceição do Jacuípe;Portal do Sertão;1991;11225;11680;16174;7820;8354;6731;3405;3326
2908606;Conde;Litoral Norte e Agreste Baiano;1991;8092;8057;5494;2592;2902;10655;5500;5155
2908705;Condeúba;Vitória da Conquista;1991;8730;9168;5761;2726;3035;12137;6004;6133
2908804;Contendas do Sincorá;Sertão Produtivo;1991;2346;2417;2181;1045;1136;2582;1301;1281
2908903;Coração de Maria;Portal do Sertão;1991;10765;11172;5570;2557;3013;16367;8208;8159
2909000;Cordeiros;Vitória da Conquista;1991;5351;5313;2296;1128;1168;8368;4223;4145
2909109;Coribe;Bacia do Rio Corrente;1991;7231;6936;4825;2362;2463;9342;4869;4473
2909208;Coronel João Sá;Semi-Árido Nordeste II;1991;8741;8392;2972;1507;1465;14161;7234;6927
2909307;Correntina;Bacia do Rio Corrente;1991;13904;14101;8636;4147;4489;19369;9757;9612
2909406;Cotegipe;Bacia do Rio Grande;1991;6375;6105;5118;2558;2560;7362;3817;3545
2909505;Cravolândia;Vale de Jequiriçá;1991;2338;2382;2475;1188;1287;2245;1150;1095
2909604;Crisópolis;Litoral Norte e Agreste Baiano;1991;8435;8343;4057;1956;2101;12721;6479;6242
2909703;Cristópolis;Bacia do Rio Grande;1991;6378;6273;2252;1103;1149;10399;5275;5124
2909802;Cruz das Almas;Recôncavo;1991;21725;24133;30908;14253;16655;14950;7472;7478
2909901;Curaçá;Sertão do São Francisco;1991;12696;12199;7749;3668;4081;17146;9028;8118
2910008;Dário Meira;Médio Rio de Contas;1991;6992;6515;4102;2064;2038;9405;4928;4477
2910057;Dias D'Ávila;Metropolitana de Salvador;1991;15884;15376;29478;14968;14510;1782;916;866
2910107;Dom Basílio;Sertão Produtivo;1991;4916;4814;1109;538;571;8621;4378;4243
2910206;Dom Macedo Costa;Recôncavo;1991;1925;1979;853;412;441;3051;1513;1538
2910305;Elísio Medrado;Vale de Jequiriçá;1991;3839;4000;1997;926;1071;5842;2913;2929
2910404;Encruzilhada;Vitória da Conquista;1991;11094;10268;3692;1788;1904;17670;9306;8364
2910503;Entre Rios;Litoral Norte e Agreste Baiano;1991;13694;14024;16897;8192;8705;10821;5502;5319
2900504;Érico Cardoso;Bacia do Paramirim;1991;3626;3681;1108;522;586;6199;3104;3095
2910602;Esplanada;Litoral Norte e Agreste Baiano;1991;11480;11725;15198;7387;7811;8007;4093;3914
2910701;Euclides da Cunha;Semi-Árido Nordeste II;1991;25859;25953;17778;8503;9275;34034;17356;16678
2910727;Eunápolis;Costa do Descobrimento;1991;34806;35739;63540;31107;32433;7005;3699;3306
2910750;Fátima;Semi-Árido Nordeste II;1991;8870;8813;4344;2077;2267;13339;6793;6546
2910776;Feira da Mata;Velho Chico;1991;3214;3129;1470;723;747;4873;2491;2382
2910800;Feira de Santana;Portal do Sertão;1991;193895;212552;349557;165305;184252;56890;28590;28300
2910859;Filadélfia;Piemonte Norte do Itapicuru;1991;8571;8423;4902;2403;2499;12092;6168;5924
2910909;Firmino Alves;Médio Sudoeste da Bahia;1991;2764;2759;3793;1853;1940;1730;911;819
2911006;Floresta Azul;Litoral Sul;1991;7062;6878;7766;3774;3992;6174;3288;2886
2911105;Formosa do Rio Preto;Bacia do Rio Grande;1991;7828;7590;5624;2652;2972;9794;5176;4618
2911204;Gandu;Baixo Sul;1991;13143;13318;19597;9419;10178;6864;3724;3140
2911253;Gavião;Bacia do Jacuípe;1991;3580;3538;2486;1131;1355;4632;2449;2183
2911303;Gentio do Ouro;Irecê;1991;5731;5362;4163;2085;2078;6930;3646;3284
2911402;Glória;Itaparica;1991;6268;6547;1611;775;836;11204;5493;5711
2911501;Gongogi;Médio Rio de Contas;1991;4617;4334;5676;2857;2819;3275;1760;1515
2911600;Governador Mangabeira;Recôncavo;1991;8644;9215;5338;2504;2834;12521;6140;6381
2911659;Guajeru;Vitória da Conquista;1991;4167;4367;1044;487;557;7490;3680;3810
2911709;Guanambi;Sertão Produtivo;1991;32138;33454;45127;21681;23446;20465;10457;10008
2911808;Guaratinga;Costa do Descobrimento;1991;13101;12340;9159;4573;4586;16282;8528;7754
