;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;genero;total_genero
732;2925709;Presidente Jânio Quadros;Sudoeste Baiano;2000;total_homens;8711
733;2925758;Presidente Tancredo Neves;Baixo Sul;2000;total_homens;10103
734;2925808;Queimadas;Sisal;2000;total_homens;12347
735;2925907;Quijingue;Sisal;2000;total_homens;13752
736;2925931;Quixabeira;Bacia do Jacuípe;2000;total_homens;4821
737;2925956;Rafael Jambeiro;Piemonte do Paraguaçu;2000;total_homens;11117
738;2926004;Remanso;Sertão do São Francisco;2000;total_homens;18200
739;2926103;Retirolândia;Sisal;2000;total_homens;5429
740;2926202;Riachão das Neves;Bacia do Rio Grande;2000;total_homens;11372
741;2926301;Riachão do Jacuípe;Bacia do Jacuípe;2000;total_homens;15666
742;2926400;Riacho de Santana;Velho Chico;2000;total_homens;14490
743;2926509;Ribeira do Amparo;Semiárido Nordeste II;2000;total_homens;7169
744;2926608;Ribeira do Pombal;Semiárido Nordeste II;2000;total_homens;22923
745;2926657;Ribeirão do Largo;Sudoeste Baiano;2000;total_homens;8166
746;2926707;Rio de Contas;Chapada Diamantina;2000;total_homens;6697
747;2926806;Rio do Antônio;Sertão Produtivo;2000;total_homens;7398
748;2926905;Rio do Pires;Bacia do Paramirim;2000;total_homens;5945
749;2927002;Rio Real;Litoral Norte e Agreste Baiano;2000;total_homens;16807
750;2927101;Rodelas;Itaparica;2000;total_homens;3104
751;2927200;Ruy Barbosa;Piemonte do Paraguaçu;2000;total_homens;14267
752;2927309;Salinas da Margarida;Metropolitano de Salvador;2000;total_homens;5109
753;2927408;Salvador;Metropolitano de Salvador;2000;total_homens;1150252
754;2927507;Santa Bárbara;Portal do Sertão;2000;total_homens;8812
755;2927606;Santa Brígida;Semiárido Nordeste II;2000;total_homens;8506
756;2927705;Santa Cruz Cabrália;Costa do Descobrimento;2000;total_homens;12541
757;2927804;Santa Cruz da Vitória;Médio Sudoeste da Bahia;2000;total_homens;3623
758;2927903;Santa Inês;Vale do Jiquiriçá;2000;total_homens;5438
759;2928059;Santa Luzia;Litoral Sul;2000;total_homens;8247
760;2928109;Santa Maria da Vitória;Bacia do Rio Corrente;2000;total_homens;20848
761;2928406;Santa Rita de Cássia;Bacia do Rio Grande;2000;total_homens;12308
762;2928505;Santa Terezinha;Piemonte do Paraguaçu;2000;total_homens;4409
763;2928000;Santaluz;Sisal;2000;total_homens;15495
764;2928208;Santana;Bacia do Rio Corrente;2000;total_homens;12371
765;2928307;Santanópolis;Portal do Sertão;2000;total_homens;4284
766;2928604;Santo Amaro;Recôncavo;2000;total_homens;28646
767;2928703;Santo Antônio de Jesus;Recôncavo;2000;total_homens;36932
768;2928802;Santo Estevão;Portal do Sertão;2000;total_homens;19843
769;2928901;São Desidério;Bacia do Rio Grande;2000;total_homens;9865
770;2928950;São Domingos;Sisal;2000;total_homens;4269
771;2929107;São Felipe;Recôncavo;2000;total_homens;10196
772;2929008;São Félix;Recôncavo;2000;total_homens;6671
773;2929057;São Félix do Coribe;Bacia do Rio Corrente;2000;total_homens;5961
774;2929206;São Francisco do Conde;Recôncavo;2000;total_homens;13055
775;2929255;São Gabriel;Irecê;2000;total_homens;9497
776;2929305;São Gonçalo dos Campos;Portal do Sertão;2000;total_homens;12984
777;2929354;São José da Vitória;Litoral Sul;2000;total_homens;3201
778;2929370;São José do Jacuípe;Bacia do Jacuípe;2000;total_homens;4604
779;2929404;São Miguel das Matas;Vale do Jiquiriçá;2000;total_homens;5062
780;2929503;São Sebastião do Passé;Recôncavo;2000;total_homens;19922
781;2929602;Sapeaçu;Recôncavo;2000;total_homens;7997
782;2929701;Sátiro Dias;Litoral Norte e Agreste Baiano;2000;total_homens;8734
783;2929750;Saubara;Recôncavo;2000;total_homens;5113
784;2929800;Saúde;Piemonte da Diamantina;2000;total_homens;5725
785;2929909;Seabra;Chapada Diamantina;2000;total_homens;19681
786;2930006;Sebastião Laranjeiras;Sertão Produtivo;2000;total_homens;4741
787;2930105;Senhor do Bonfim;Piemonte Norte do Itapicuru;2000;total_homens;32889
788;2930204;Sento Sé;Sertão do São Francisco;2000;total_homens;16777
789;2930154;Serra do Ramalho;Velho Chico;2000;total_homens;17000
790;2930303;Serra Dourada;Bacia do Rio Corrente;2000;total_homens;9322
791;2930402;Serra Preta;Bacia do Jacuípe;2000;total_homens;8833
792;2930501;Serrinha;Sisal;2000;total_homens;41171
793;2930600;Serrolândia;Piemonte da Diamantina;2000;total_homens;6310
794;2930709;Simões Filho;Metropolitano de Salvador;2000;total_homens;46731
795;2930758;Sítio do Mato;Velho Chico;2000;total_homens;6088
796;2930766;Sítio do Quinto;Semiárido Nordeste II;2000;total_homens;8306
797;2930774;Sobradinho;Sertão do São Francisco;2000;total_homens;10527
798;2930808;Souto Soares;Chapada Diamantina;2000;total_homens;7570
799;2930907;Tabocas do Brejo Velho;Bacia do Rio Corrente;2000;total_homens;6533
800;2931004;Tanhaçu;Sertão Produtivo;2000;total_homens;10163
801;2931053;Tanque Novo;Bacia do Paramirim;2000;total_homens;7966
802;2931103;Tanquinho;Portal do Sertão;2000;total_homens;3692
803;2931202;Taperoá;Baixo Sul;2000;total_homens;8149
804;2931301;Tapiramutá;Piemonte do Paraguaçu;2000;total_homens;8642
805;2931350;Teixeira de Freitas;Extremo Sul;2000;total_homens;53189
806;2931400;Teodoro Sampaio;Portal do Sertão;2000;total_homens;4393
