;codigo_municipio;Municipios;Territorios.de.Identidade;sexo;Ano;faixa_etarias;total_faixa
108;2909000;Coração de Maria;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-1243
109;2909109;Cordeiros;Bacia do Rio Corrente;Masculino;2000;Entre.0.a.4;-403
110;2909208;Coribe;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-735
111;2909307;Coronel João Sá;Bacia do Rio Corrente;Masculino;2000;Entre.0.a.4;-1246
112;2909406;Correntina;Bacia do Rio Grande;Masculino;2000;Entre.0.a.4;-1628
113;2909505;Cotegipe;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-790
114;2909604;Cravolândia;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-236
115;2909703;Crisópolis;Bacia do Rio Grande;Masculino;2000;Entre.0.a.4;-1188
116;2909802;Cristópolis;Recôncavo;Masculino;2000;Entre.0.a.4;-616
117;2909901;Cruz das Almas;Sertão do São Francisco;Masculino;2000;Entre.0.a.4;-2405
118;2910008;Curaçá;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-1670
119;2910057;Dário Meira;Metropolitano de Salvador;Masculino;2000;Entre.0.a.4;-1092
120;2910107;"Dias d""Ávila";Sertão Produtivo;Masculino;2000;Entre.0.a.4;-2494
121;2910206;Dom Basílio;Recôncavo;Masculino;2000;Entre.0.a.4;-471
122;2910305;Dom Macedo Costa;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-132
123;2910404;Elísio Medrado;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-323
124;2910503;Encruzilhada;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-1738
125;2900504;Entre Rios;Bacia do Paramirim;Masculino;2000;Entre.0.a.4;-2315
126;2910602;Esplanada;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-1697
127;2910701;Euclides da Cunha;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-2873
128;2910727;Eunápolis;Costa do Descobrimento;Masculino;2000;Entre.0.a.4;-4612
129;2910750;Fátima;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-972
130;2910776;Feira da Mata;Velho Chico;Masculino;2000;Entre.0.a.4;-325
131;2910800;Feira de Santana;Portal do Sertão;Masculino;2000;Entre.0.a.4;-23980
132;2910859;Filadélfia;Piemonte Norte do Itapicuru;Masculino;2000;Entre.0.a.4;-897
133;2910909;Firmino Alves;Médio Sudoeste da Bahia;Masculino;2000;Entre.0.a.4;-258
134;2911006;Floresta Azul;Litoral Sul;Masculino;2000;Entre.0.a.4;-560
135;2911105;Formosa do Rio Preto;Bacia do Rio Grande;Masculino;2000;Entre.0.a.4;-1198
136;2911204;Gandu;Baixo Sul;Masculino;2000;Entre.0.a.4;-1368
137;2911253;Gavião;Bacia do Jacuípe;Masculino;2000;Entre.0.a.4;-201
138;2911303;Gentio do Ouro;Irecê;Masculino;2000;Entre.0.a.4;-514
139;2911402;Glória;Itaparica;Masculino;2000;Entre.0.a.4;-697
140;2911501;Gongogi;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-585
141;2911600;Governador Mangabeira;Recôncavo;Masculino;2000;Entre.0.a.4;-838
142;2911659;Guajeru;Sudoeste Baiano;Masculino;2000;Entre.0.a.4;-542
143;2911709;Guanambi;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-3200
144;2911808;Guaratinga;Costa do Descobrimento;Masculino;2000;Entre.0.a.4;-1279
145;2911857;Heliópolis;Semiárido Nordeste II;Masculino;2000;Entre.0.a.4;-772
146;2911907;Iaçu;Piemonte do Paraguaçu;Masculino;2000;Entre.0.a.4;-1606
147;2912004;Ibiassucê;Sertão Produtivo;Masculino;2000;Entre.0.a.4;-560
148;2912103;Ibicaraí;Litoral Sul;Masculino;2000;Entre.0.a.4;-1426
149;2912202;Ibicoara;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-945
150;2912301;Ibicuí;Médio Sudoeste da Bahia;Masculino;2000;Entre.0.a.4;-717
151;2912400;Ibipeba;Irecê;Masculino;2000;Entre.0.a.4;-758
152;2912509;Ibipitanga;Bacia do Paramirim;Masculino;2000;Entre.0.a.4;-710
