codigo_municipio;Territorios.de.Identidade;Ano;faixa_etarias;total_faixa;sexo_num
2913200;Velho Chico;2000;Entre.0.a.4;-1387;1
2913309;Sisal;2000;Entre.0.a.4;-299;1
2913408;Velho Chico;2000;Entre.0.a.4;-668;1
2913457;Baixo Sul;2000;Entre.0.a.4;-1062;1
2913507;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-1236;1
2913606;Litoral Sul;2000;Entre.0.a.4;-10929;1
2913705;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1819;1
2913804;Portal do Sertão;2000;Entre.0.a.4;-964;1
2913903;Médio Rio de Contas;2000;Entre.0.a.4;-2041;1
2914000;Bacia do Jacuípe;2000;Entre.0.a.4;-3298;1
2914109;Irecê;2000;Entre.0.a.4;-357;1
2914208;Vale do Jiquiriçá;2000;Entre.0.a.4;-371;1
2914307;Chapada Diamantina;2000;Entre.0.a.4;-883;1
2914406;Chapada Diamantina;2000;Entre.0.a.4;-1115;1
2914505;Portal do Sertão;2000;Entre.0.a.4;-1286;1
2914604;Irecê;2000;Entre.0.a.4;-3106;1
2914653;Costa do Descobrimento;2000;Entre.0.a.4;-1646;1
2914703;Piemonte do Paraguaçu;2000;Entre.0.a.4;-3086;1
2914802;Litoral Sul;2000;Entre.0.a.4;-8860;1
2914901;Litoral Sul;2000;Entre.0.a.4;-1193;1
2915007;Chapada Diamantina;2000;Entre.0.a.4;-884;1
2915106;Médio Rio de Contas;2000;Entre.0.a.4;-777;1
2915205;Médio Rio de Contas;2000;Entre.0.a.4;-829;1
2915304;Costa do Descobrimento;2000;Entre.0.a.4;-385;1
2915353;Irecê;2000;Entre.0.a.4;-730;1
2915403;Litoral Sul;2000;Entre.0.a.4;-486;1
2915502;Litoral Sul;2000;Entre.0.a.4;-1141;1
2915601;Extremo Sul;2000;Entre.0.a.4;-3508;1
2915700;Médio Rio de Contas;2000;Entre.0.a.4;-442;1
2915809;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-1413;1
2915908;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-433;1
2916005;Extremo Sul;2000;Entre.0.a.4;-1002;1
2916104;Metropolitano de Salvador;2000;Entre.0.a.4;-991;1
2916203;Litoral Sul;2000;Entre.0.a.4;-615;1
2916302;Costa do Descobrimento;2000;Entre.0.a.4;-706;1
2916401;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-2822;1
2916500;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1527;1
2916609;Litoral Sul;2000;Entre.0.a.4;-541;1
2916708;Vale do Jiquiriçá;2000;Entre.0.a.4;-389;1
2916807;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-804;1
2916856;Piemonte do Paraguaçu;2000;Entre.0.a.4;-679;1
2916906;Vale do Jiquiriçá;2000;Entre.0.a.4;-700;1
2917003;Sisal;2000;Entre.0.a.4;-2116;1
2917102;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-910;1
2917201;Sertão Produtivo;2000;Entre.0.a.4;-884;1
2917300;Baixo Sul;2000;Entre.0.a.4;-1470;1
2917334;Sertão Produtivo;2000;Entre.0.a.4;-709;1
2917359;Bacia do Rio Corrente;2000;Entre.0.a.4;-548;1
2917409;Vitória da Conquista;2000;Entre.0.a.4;-518;1
2917508;Piemonte da Diamantina;2000;Entre.0.a.4;-3808;1
2917607;Vale do Jiquiriçá;2000;Entre.0.a.4;-2679;1
2917706;Piemonte Norte do Itapicuru;2000;Entre.0.a.4;-1442;1
2917805;Baixo Sul;2000;Entre.0.a.4;-836;1
2917904;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-704;1
2918001;Médio Rio de Contas;2000;Entre.0.a.4;-6963;1
2918100;Semiárido Nordeste II;2000;Entre.0.a.4;-2008;1
2918209;Vale do Jiquiriçá;2000;Entre.0.a.4;-694;1
2918308;Médio Rio de Contas;2000;Entre.0.a.4;-960;1
2918357;Irecê;2000;Entre.0.a.4;-1084;1
2918407;Sertão do São Francisco;2000;Entre.0.a.4;-10020;1
2918456;Extremo Sul;2000;Entre.0.a.4;-698;1
2918506;Irecê;2000;Entre.0.a.4;-865;1
2918555;Litoral Sul;2000;Entre.0.a.4;-371;1
2918605;Chapada Diamantina;2000;Entre.0.a.4;-297;1
2918704;Vale do Jiquiriçá;2000;Entre.0.a.4;-155;1
2919058;Vale do Jiquiriçá;2000;Entre.0.a.4;-710;1
2918753;Sertão Produtivo;2000;Entre.0.a.4;-1039;1
2918803;Vale do Jiquiriçá;2000;Entre.0.a.4;-145;1
2918902;Extremo Sul;2000;Entre.0.a.4;-237;1
2919009;Piemonte do Paraguaçu;2000;Entre.0.a.4;-410;1
2919108;Sisal;2000;Entre.0.a.4;-496;1
2919157;Irecê;2000;Entre.0.a.4;-1428;1
2919207;Metropolitano de Salvador;2000;Entre.0.a.4;-5912;1
2919306;Chapada Diamantina;2000;Entre.0.a.4;-563;1
2919405;Vitória da Conquista;2000;Entre.0.a.4;-551;1
2919504;Sertão Produtivo;2000;Entre.0.a.4;-1812;1
2919553;Bacia do Rio Grande;NA;Entre.0.a.4;NA;0
2919603;Piemonte do Paraguaçu;2000;Entre.0.a.4;-641;1
