CodigodoMunicipio; Municipios;TerritoriosdeIdentidade;Ano;Branca;Preta;Amarela;Parda;Indigena;Ignorado
2925600;Presidente Dutra;Irecê;1991;27,6;4;0,1;67,8;;0,5
2925709;Presidente Jânio Quadros;Sudoeste Baiano;1991;39,4;2,1;;57,3;;1,2
2925758;Presidente Tancredo Neves;Baixo Sul;1991;19,2;12,3;;68,4;;0,1
2925808;Queimadas;Sisal;1991;17,4;4,5;0;77,8;0;0,2
2925907;Quijingue;Sisal;1991;15,2;1,8;0,1;81,4;0,3;1,4
2925931;Quixabeira;Bacia do Jacuípe;1991;12,7;11,7;;75,2;;0,4
2925956;Rafael Jambeiro;Piemonte do Paraguaçu;1991;25;13;;61,6;;0,4
2926004;Remanso;Sertão do São Francisco;1991;13,4;5;;81,6;;0
2926103;Retirolândia;Sisal;1991;31,9;2,7;0;65,3;;
2926202;Riachão das Neves;Bacia do Rio Grande;1991;9,8;5,2;;84,9;;0,1
2926301;Riachão do Jacuípe;Bacia do Jacuípe;1991;25,2;12,6;;61,8;;0,4
2926400;Riacho de Santana;Velho Chico;1991;55,6;15,7;;28,7;;0
2926509;Ribeira do Amparo;Semiárido Nordeste II;1991;12,3;7,2;;80,5;;0,1
2926608;Ribeira do Pombal;Semiárido Nordeste II;1991;35,1;8;0;56,1;0,8;0
2926657;Ribeirão do Largo;Sudoeste Baiano;1991;26;13,3;0,1;59,8;0,2;0,6
2926707;Rio de Contas;Chapada Diamantina;1991;67,6;15,1;;16,3;;0,9
2926806;Rio do Antônio;Sertão Produtivo;1991;52,7;4,4;0;41,9;;0,9
2926905;Rio do Pires;Bacia do Paramirim;1991;64,3;5,7;0,1;29,4;;0,5
2927002;Rio Real;Litoral Norte e Agreste Baiano;1991;19,8;3,8;0,1;76,1;;0,3
2927101;Rodelas;Itaparica;1991;47,8;5,6;;35,9;10,5;0,2
2927200;Ruy Barbosa;Piemonte do Paraguaçu;1991;14,6;7,7;0,1;77,2;;0,4
2927309;Salinas da Margarida;Recôncavo;1991;2,2;28,4;;69,3;;0,1
2927408;Salvador;Metropolitano de Salvador;1991;20,4;14,6;0,1;64,2;0,2;0,4
2927507;Santa Bárbara;Portal do Sertão;1991;6,1;7,7;;86,1;;0,1
2927606;Santa Brígida;Semiárido Nordeste II;1991;16,1;7,1;0,2;76,2;;0,3
2927705;Santa Cruz Cabrália;Costa do Descobrimento;1991;24,1;5,2;0,1;62;7,5;1,2
2927804;Santa Cruz da Vitória;Médio Sudoeste da Bahia;1991;16,4;4,9;0,1;78,1;;0,5
2927903;Santa Inês;Vale do Jiquiriçá;1991;17,7;16,1;0,1;65,8;0,1;0,2
2928059;Santa Luzia;Litoral Sul;1991;4,1;8,1;0,1;86,5;;1,1
2928109;Santa Maria da Vitória;Bacia do Rio Corrente;1991;28,5;5,3;0;65,7;;0,5
2928406;Santa Rita de Cássia;Bacia do Rio Grande;1991;28,7;8,1;0;62,6;0,1;0,5
2928505;Santa Terezinha;Piemonte do Paraguaçu;1991;22,1;6,6;;71,2;;
2928000;Santaluz;Sisal;1991;12,3;5,4;;82,3;;0
2928208;Santana;Bacia do Rio Corrente;1991;29,7;6,9;;62,8;;0,6
2928307;Santanópolis;Portal do Sertão;1991;1,6;7,2;;91,3;;
2928604;Santo Amaro;Recôncavo;1991;5,1;19,8;0;75;;0,1
2928703;Santo Antônio de Jesus;Recôncavo;1991;22,6;16,9;0,1;59,8;0;0,6
2928802;Santo Estevão;Portal do Sertão;1991;15;12,1;0,2;72,6;0;0,1
2928901;São Desidério;Bacia do Rio Grande;1991;28,6;13,9;0,4;56,7;;0,4
2928950;São Domingos;Sisal;1991;19,8;1,6;0;77,9;;0,7
2929107;São Felipe;Recôncavo;1991;15,7;15,8;0;67,3;0,1;1,1
2929008;São Félix;Recôncavo;1991;6,5;18,5;0,1;71,8;0,5;2,5
2929057;São Félix do Coribe;Bacia do Rio Corrente;1991;41,8;5,9;;51,9;0,2;0,1
2929206;São Francisco do Conde;Metropolitano de Salvador;1991;5;18,7;0;76,2;0,1;0,1
2929255;São Gabriel;Irecê;1991;12,7;2;0,1;85,2;;0
2929305;São Gonçalo dos Campos;Portal do Sertão;1991;6,2;25,2;0,1;67,5;;0,9
2929354;São José da Vitória;Litoral Sul;1991;9,3;8,6;;82,1;;0
2929370;São José do Jacuípe;Bacia do Jacuípe;1991;19,8;11,1;;68,5;0,1;0,5
2929404;São Miguel das Matas;Vale do Jiquiriçá;1991;27,2;22,5;;50,1;;0,2
2929503;São Sebastião do Passé;Metropolitano de Salvador;1991;9,3;13,6;0,2;76,3;;0,6
2929602;Sapeaçu;Recôncavo;1991;10,6;14,7;0,1;74,4;;0,1
2929701;Sátiro Dias;Litoral Norte e Agreste Baiano;1991;9,4;4,4;;86,1;;
2929750;Saubara;Recôncavo;1991;3,4;9,9;0,1;86,4;0,1;
2929800;Saúde;Piemonte da Diamantina;1991;16,2;7;;75,8;0;1
2929909;Seabra;Chapada Diamantina;1991;17,8;9,8;0;71,5;0,1;0,7
2930006;Sebastião Laranjeiras;Sertão Produtivo;1991;25,5;6,6;0,1;67,5;;0,3
2930105;Senhor do Bonfim;Piemonte Norte do Itapicuru;1991;13,8;3,8;0,1;82;;0,3
2930204;Sento Sé;Sertão do São Francisco;1991;11,5;4,9;;81,7;0;1,9
2930154;Serra do Ramalho;Velho Chico;1991;12,9;4;0,1;82,8;0,1;
2930303;Serra Dourada;Bacia do Rio Corrente;1991;28,7;4,4;;66,6;;0,3
2930402;Serra Preta;Bacia do Jacuípe;1991;7,6;10,7;0,1;80,9;;0,7
2930501;Serrinha;Sisal;1991;25,2;9,4;0;64,9;0;0,4
2930600;Serrolândia;Piemonte da Diamantina;1991;24,8;6,6;0,1;68,1;0,1;0,3
2930709;Simões Filho;Metropolitano de Salvador;1991;8,8;12;0,1;78,5;0,1;0,4
2930758;Sítio do Mato;Velho Chico;1991;8,3;6,2;0,1;85,4;;0,1
2930766;Sítio do Quinto;Semiárido Nordeste II;1991;32,8;4,2;0;62,4;;0,6
2930774;Sobradinho;Sertão do São Francisco;1991;25,8;4;0,1;69,5;;0,7
2930808;Souto Soares;Chapada Diamantina;1991;18,6;4,9;0;76,3;;0,1
2930907;Tabocas do Brejo Velho;Bacia do Rio Corrente;1991;18,8;0,8;0;79,3;;1
2931004;Tanhaçu;Sertão Produtivo;1991;53,5;6,1;;40,3;0;0,1
2931053;Tanque Novo;Sertão Produtivo;1991;40,9;8,6;;49,4;;1,1
2931103;Tanquinho;Portal do Sertão;1991;12,1;17,7;0,3;69,8;;0,1
2931202;Taperoá;Baixo Sul;1991;7,8;21,4;0,4;70,3;0;0,1
2931301;Tapiramutá;Piemonte do Paraguaçu;1991;17;20,3;;62,6;;0,1
2931350;Teixeira de Freitas;Extremo Sul;1991;21,4;6,1;0,2;72,1;0;0,2
2931400;Teodoro Sampaio;Portal do Sertão;1991;3,3;10,3;0,1;85,6;0;0,6
2931509;Teofilândia;Sisal;1991;12,1;13,4;;73,8;0,2;0,5
2931608;Teolândia;Baixo Sul;1991;8,7;7,7;0;83,3;;0,2
2931707;Terra Nova;Portal do Sertão;1991;1,8;16,8;;80,9;0,1;0,4
2931806;Tremedal;Sudoeste Baiano;1991;29,4;7,9;;61,8;;0,9
2931905;Tucano;Sisal;1991;30,9;3,8;0;65;;0,3
2932002;Uauá;Sertão do São Francisco;1991;27;3,3;0,1;69,3;0;0,3
2932101;Ubaíra;Vale do Jiquiriçá;1991;24,2;12,4;0,2;62,1;;1,1
2932200;Ubaitaba;Litoral Sul;1991;7,8;14,9;0;76,9;0,1;0,3
2932309;Ubatã;Médio Rio de Contas;1991;17,7;7,8;0;73,6;;0,9
2932408;Uibaí;Irecê;1991;30,5;3,7;0,1;65,7;;
2932457;Umburanas;Piemonte da Diamantina;1991;21,2;5,9;;72,7;0,1;0,1
2932507;Una;Litoral Sul;1991;4,8;13,6;0,6;75,7;3,5;1,8
2932606;Urandi;Sertão Produtivo;1991;28,3;12,4;;59;;0,3
2932705;Uruçuca;Litoral Sul;1991;8,8;10,4;0,1;80,3;0;0,4
2932804;Utinga;Chapada Diamantina;1991;12,9;9,2;;77,9;;0,1
2932903;Valença;Baixo Sul;1991;16,2;15,4;0;68,1;0;0,2
2933000;Valente;Sisal;1991;32,4;4,5;;62,8;0,1;0,2
2933059;Várzea da Roça;Bacia do Jacuípe;1991;39,7;5,9;;54,4;;0
2933109;Várzea do Poço;Bacia do Jacuípe;1991;29,1;4,3;0,1;65,4;;1,1
2933158;Várzea Nova;Piemonte da Diamantina;1991;10,2;4,8;;85;;0,1
2933174;Varzedo;Recôncavo;1991;19,3;19,7;;60,8;;0,2
2933208;Vera Cruz;Metropolitano de Salvador;1991;7,5;13,4;0,1;78,2;0,1;0,7
2933257;Vereda;Extremo Sul;1991;24;5,1;;70,6;;0,3
2933307;Vitória da Conquista;Sudoeste Baiano;1991;29,7;4,1;0;65,9;0;0,2
2933406;Wagner;Chapada Diamantina;1991;11,4;9,4;0;78,8;;0,4
2933455;Wanderley;Bacia do Rio Grande;1991;22,8;4,1;;72,6;0;0,4
2933505;Wenceslau Guimarães;Baixo Sul;1991;8,6;12,6;0,1;77,5;;1,2
2933604;Xique-Xique;Irecê;1991;15,4;6,6;0;77,8;0;0,1
2900108;Abaíra;Chapada Diamantina;2000;63,6;6,5;;29,6;;0,4
2900207;Abaré;Itaparica;2000;18;4,3;0,1;76,6;0,2;0,8
2900306;Acajutiba;Litoral Norte e Agreste Baiano;2000;22,3;9;0,3;65,9;0,5;1,9
2900355;Adustina;Semiárido Nordeste II;2000;39,4;2,2;0;57,7;;0,7
2900405;Água Fria;Portal do Sertão;2000;9,4;12,5;0;77,4;0,2;0,5
2900603;Aiquara;Médio Rio de Contas;2000;16,2;15,8;0,4;65;0,9;1,8
2900702;Alagoinhas;Litoral Norte e Agreste Baiano;2000;19,2;15,6;0,1;63,8;0,4;0,9
2900801;Alcobaça;Extremo Sul;2000;17,3;14;0,3;66,5;0,8;1,2
2900900;Almadina;Litoral Sul;2000;17;16,5;;65;0,6;0,9
2901007;Amargosa;Vale do Jiquiriçá;2000;24,1;14,9;0;59,3;0,2;1,4
2901106;Amélia Rodrigues;Portal do Sertão;2000;9,1;22,9;0,2;66,2;0,2;1,5
2901155;América Dourada;Irecê;2000;25,3;14,7;;59,1;;1
2901205;Anagé;Sudoeste Baiano;2000;44;5,5;0,1;47,5;0;2,9
2901304;Andaraí;Chapada Diamantina;2000;13,5;14,7;0;70,2;0,1;1,4
2901353;Andorinha;Piemonte Norte do Itapicuru;2000;24,5;5,9;;67,8;0,5;1,3
2901403;Angical;Bacia do Rio Grande;2000;30,1;5;0,1;63,9;0,4;0,5
2901502;Anguera;Portal do Sertão;2000;11,8;15,6;0,5;71,4;0,3;0,5
2901601;Antas;Semiárido Nordeste II;2000;56,6;9,8;;32,7;0,2;0,6
2901700;Antônio Cardoso;Portal do Sertão;2000;10,1;22,6;;66,1;0;1,1
2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;2000;25,1;7,2;0,1;66,4;0,3;0,8
2901908;Aporá;Litoral Norte e Agreste Baiano;2000;22,9;9,7;0,2;63,7;0,4;3,1
2901957;Apuarema;Médio Rio de Contas;2000;28,2;8,1;0,1;62,5;0,9;0,3
2902054;Araçás;Litoral Norte e Agreste Baiano;2000;11,4;28;0,1;58,4;0,1;2
2902005;Aracatu;Sudoeste Baiano;2000;61,5;7;;31,1;;0,4
2902104;Araci;Sisal;2000;21,9;7,2;0,1;69,5;0,2;1,1
2902203;Aramari;Litoral Norte e Agreste Baiano;2000;6,9;27,2;0,2;62,8;0,1;2,8
2902252;Arataca;Litoral Sul;2000;14;10,7;0,1;73,4;0,2;1,6
2902302;Aratuípe;Baixo Sul;2000;9,5;13;0;75,9;0,8;0,8
2902401;Aurelino Leal;Litoral Sul;2000;17,1;13,7;0;66,7;;2,5
2902500;Baianópolis;Bacia do Rio Grande;2000;23,4;4,2;;67,3;1,5;3,6
2902609;Baixa Grande;Bacia do Jacuípe;2000;15,8;12;0,3;70,7;0;1
2902658;Banzaê;Semiárido Nordeste II;2000;27,1;5,5;;53,7;13,3;0,4
2902708;Barra;Velho Chico;2000;16,4;8,8;0,3;71,9;0,3;2,1
2902807;Barra da Estiva;Chapada Diamantina;2000;30;10,5;0,1;57,3;0,4;1,6
2902906;Barra do Choça;Sudoeste Baiano;2000;30,6;8,3;0;60,6;0;0,4
2903003;Barra do Mendes;Irecê;2000;38,6;5,6;0,1;55,3;0;0,4
2903102;Barra do Rocha;Médio Rio de Contas;2000;12,3;21,4;0,2;65,8;0,1;0,2
2903201;Barreiras;Bacia do Rio Grande;2000;36,8;8,2;0,6;53;0,7;0,8
2903235;Barro Alto;Irecê;2000;36,7;5;0,1;57,4;0,2;0,7
2903300;Barro Preto/Lomanto Junior;Litoral Sul;2000;13,8;9,3;0,1;75,2;0,1;1,5
2903276;Barrocas;Sisal;2000;;;;;;
2903409;Belmonte;Costa do Descobrimento;2000;21,7;20,4;0,2;56,5;0,5;0,8
2903508;Belo Campo;Sudoeste Baiano;2000;34;4,8;0,1;60,9;;0,3
2903607;Biritinga;Sisal;2000;8,5;8;0,2;81;0,4;2
2903706;Boa Nova;Médio Rio de Contas;2000;33,4;10,1;;54,6;1;1
2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;2000;20,4;16,8;0,4;61,7;;0,7
2903904;Bom Jesus da Lapa;Velho Chico;2000;23,4;15;0,1;54,5;0,5;6,6
2903953;Bom Jesus da Serra;Sudoeste Baiano;2000;28,6;4,6;0,2;65,4;0;1,2
2904001;Boninal;Chapada Diamantina;2000;28,9;10,9;;59,9;;0,4
2904050;Bonito;Chapada Diamantina;2000;13,6;12,6;;72,9;;1
2904100;Boquira;Bacia do Paramirim;2000;38,4;8,2;0;52,5;0,1;0,8
2904209;Botuporã;Bacia do Paramirim;2000;40,1;10,6;0,1;48,4;0,1;0,7
2904308;Brejões;Vale do Jiquiriçá;2000;25,4;24,9;0,1;48,6;0,1;0,9
2904407;Brejolândia;Bacia do Rio Corrente;2000;32,1;6,8;;60,1;0,1;1
2904506;Brotas de Macaúbas;Velho Chico;2000;32,8;13,3;;53,4;0;0,5
2904605;Brumado;Sertão Produtivo;2000;48,3;6,4;0,1;44,5;0,1;0,6
2904704;Buerarema;Litoral Sul;2000;27,8;13,3;0,2;56,9;0,9;0,8
2904753;Buritirama;Bacia do Rio Grande;2000;33,7;4,9;;60,8;;0,6
2904803;Caatiba;Médio Sudoeste da Bahia;2000;31,5;8,6;;58,2;;1,7
2904852;Cabaceiras do Paraguaçu;Recôncavo;2000;14,9;18,9;;65,8;0,2;0,2
2904902;Cachoeira;Recôncavo;2000;11,3;25,6;0,4;60,1;0,7;1,8
2905008;Caculé;Sertão Produtivo;2000;43,3;6,4;0,1;49,3;0,2;0,8
2905107;Caém;Piemonte da Diamantina;2000;15,7;18,6;0,7;63,8;0,1;1,1
2905156;Caetanos;Sudoeste Baiano;2000;32,6;1,3;0,2;64,2;;1,7
2905206;Caetité;Sertão Produtivo;2000;44,8;13,1;0,1;40,9;0,2;0,9
2905305;Cafarnaum;Irecê;2000;20,8;10,5;0;67,4;0,1;1,2
2905404;Cairu;Baixo Sul;2000;13,2;28,5;0;57,2;0;1,1
2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;2000;17;18,6;0,1;63,9;0;0,4
2905602;Camacan;Litoral Sul;2000;21,7;10,3;0,1;66,5;0,5;1
2905701;Camaçari;Metropolitano de Salvador;2000;18,5;14,5;0,4;64,6;1,2;0,8
2905800;Camamu;Baixo Sul;2000;13;18,8;0,2;66,9;0,4;0,8
2905909;Campo Alegre de Lourdes;Sertão do São Francisco;2000;31,4;5,6;0,4;60,5;0,1;2,1
2906006;Campo Formoso;Piemonte Norte do Itapicuru;2000;30;9,6;0,6;58,6;0,4;0,9
2906105;Canápolis;Bacia do Rio Corrente;2000;54,9;22,7;0,1;20,8;0,9;0,6
2906204;Canarana;Irecê;2000;27,4;6,3;0,1;65,6;0,1;0,6
2906303;Canavieiras;Litoral Sul;2000;19,6;9,5;0,1;68,6;1,3;0,8
2906402;Candeal;Sisal;2000;15,8;14,9;0,1;69,1;;0,1
2906501;Candeias;Metropolitano de Salvador;2000;11,6;26,3;0,2;60,7;0,3;0,8
2906600;Candiba;Sertão Produtivo;2000;55,1;11,4;;33,1;0,2;0,2
2906709;Cândido Sales;Sudoeste Baiano;2000;35,6;6,6;0,2;56,3;0;1,3
2906808;Cansanção;Sisal;2000;20,8;3,7;0,3;72,6;0;2,6
2906824;Canudos;Sertão do São Francisco;2000;19,1;5,4;;74,2;0,3;1
2906857;Capela do Alto Alegre;Bacia do Jacuípe;2000;35,5;3,8;0;59,5;0,2;0,9
2906873;Capim Grosso;Bacia do Jacuípe;2000;34,5;4,6;;60,5;0,1;0,3
2906899;Caraíbas;Sudoeste Baiano;2000;35,3;4,8;0,3;57,6;0,2;1,9
2906907;Caravelas;Extremo Sul;2000;18,3;17,3;0,2;62,2;0,5;1,6
2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;2000;13,6;26;0,2;59,6;0,3;0,3
2907103;Carinhanha;Velho Chico;2000;30,2;12,9;0;55,7;0,1;1
2907202;Casa Nova;Sertão do São Francisco;2000;40,1;11;0,2;47,5;0,2;1
2907301;Castro Alves;Recôncavo;2000;17,8;17,6;0,1;62,7;0,1;1,7
2907400;Catolândia;Bacia do Rio Grande;2000;29,8;5,1;;64,5;;0,5
2907509;Catu;Litoral Norte e Agreste Baiano;2000;13,7;13,2;0,1;71,6;0,2;1,2
2907558;Caturama;Bacia do Paramirim;2000;42,2;6,8;;49,7;;1,2
2907608;Central;Irecê;2000;26,5;5,2;0,1;67,5;0,2;0,4
2907707;Chorrochó;Itaparica;2000;9,9;12,5;0,1;76,6;0,5;0,5
2907806;Cícero Dantas;Semiárido Nordeste II;2000;41,9;7;0;50,6;0,3;0,2
2907905;Cipó;Semiárido Nordeste II;2000;32;4,9;0;62,5;0,2;0,3
2908002;Coaraci;Litoral Sul;2000;19,8;12;;67;0,1;1,1
2908101;Côcos;Bacia do Rio Corrente;2000;45,1;4,5;;49,8;0,1;0,5
2908200;Conceição da Feira;Portal do Sertão;2000;11;31,5;0,3;54,8;0,6;1,8
2908309;Conceição do Almeida;Recôncavo;2000;14,2;21,7;0,5;62,6;0,2;0,8
2908408;Conceição do Coité;Sisal;2000;31,3;9,8;0,2;58;0,3;0,3
2908507;Conceição do Jacuípe;Portal do Sertão;2000;14,3;16;0;68,9;0,1;0,6
2908606;Conde;Litoral Norte e Agreste Baiano;2000;21,8;12,8;0,2;62,4;0,1;2,8
2908705;Condeúba;Sudoeste Baiano;2000;35,2;4,8;;59,8;0;0,2
2908804;Contendas do Sincorá;Sertão Produtivo;2000;38,5;7,3;;52,8;;1,5
2908903;Coração de Maria;Portal do Sertão;2000;14,7;14,4;0,1;68,6;0;2,2
2909000;Cordeiros;Sudoeste Baiano;2000;38,5;3,4;;57,8;;0,2
2909109;Coribe;Bacia do Rio Corrente;2000;37,5;5,4;;56,1;;0,9
2909208;Coronel João Sá;Semiárido Nordeste II;2000;42,7;4,4;0,1;50,8;;1,9
2909307;Correntina;Bacia do Rio Corrente;2000;32,6;8,2;;56,7;0,5;1,9
2909406;Cotegipe;Bacia do Rio Grande;2000;25,2;6,3;0;66,3;0,1;2
2909505;Cravolândia;Vale do Jiquiriçá;2000;23,9;7,2;;68,4;0,3;0,2
2909604;Crisópolis;Litoral Norte e Agreste Baiano;2000;31,2;7,2;0,1;60,3;0,3;0,8
2909703;Cristópolis;Bacia do Rio Grande;2000;34,9;4,5;;56,4;0,4;3,8
2909802;Cruz das Almas;Recôncavo;2000;17,8;19,9;0,1;61,1;0,2;0,9
2909901;Curaçá;Sertão do São Francisco;2000;26,1;10,9;0,1;61,3;0,7;0,9
2910008;Dário Meira;Médio Rio de Contas;2000;20,4;12,3;0,1;66,2;0,5;0,5
2910057;Dias D'Ávila;Metropolitano de Salvador;2000;19,5;15;0,2;64,1;0,5;0,7
2910107;Dom Basílio;Sertão Produtivo;2000;68,9;4,7;0,1;26;;0,4
2910206;Dom Macedo Costa;Recôncavo;2000;22,1;15,8;;61,6;0,4;0,2
2910305;Elísio Medrado;Vale do Jiquiriçá;2000;29,5;9,4;;60,5;0;0,5
2910404;Encruzilhada;Sudoeste Baiano;2000;12,7;6,9;0,2;79,7;;0,4
2910503;Entre Rios;Litoral Norte e Agreste Baiano;2000;18,8;19,1;0,2;60,8;0,7;0,3
2900504;Érico Cardoso;Bacia do Paramirim;2000;28,6;18,9;0;51,2;0,2;1
2910602;Esplanada;Litoral Norte e Agreste Baiano;2000;20,6;13,1;0,1;64,7;0,9;0,7
2910701;Euclides da Cunha;Semiárido Nordeste II;2000;24;3,8;0;70,1;0,6;1,5
2910727;Eunápolis;Costa do Descobrimento;2000;27,4;6,2;0,1;64,6;1;0,6
2910750;Fátima;Semiárido Nordeste II;2000;38,7;1;0;59,9;;0,4
2910776;Feira da Mata;Velho Chico;2000;29,8;4;0,2;64,4;0,3;1,3
2910800;Feira de Santana;Portal do Sertão;2000;23,4;15,6;0,1;60;0,4;0,4
2910859;Filadélfia;Piemonte Norte do Itapicuru;2000;14,3;4,7;0,1;79,3;0,1;1,4
2910909;Firmino Alves;Médio Sudoeste da Bahia;2000;24;6,1;0,3;69,2;0,2;0,1
2911006;Floresta Azul;Litoral Sul;2000;23,9;7,5;;68;0,2;0,5
2911105;Formosa do Rio Preto;Bacia do Rio Grande;2000;18,5;10,2;0,4;69,8;0;1
2911204;Gandu;Baixo Sul;2000;22,7;9,2;0,3;66;0,6;1,2
2911253;Gavião;Bacia do Jacuípe;2000;32;6,6;;60,9;;0,5
2911303;Gentio do Ouro;Irecê;2000;37;7;;55,1;0,4;0,5
2911402;Glória;Itaparica;2000;31,4;5,3;;58,7;3,6;1
2911501;Gongogi;Médio Rio de Contas;2000;13,3;16,4;;69,7;0,2;0,5
2911600;Governador Mangabeira;Recôncavo;2000;14,3;24,4;0,2;60,6;0,3;0,2
2911659;Guajeru;Sudoeste Baiano;2000;37,2;5,6;;56,8;;0,4
2911709;Guanambi;Sertão Produtivo;2000;40,2;8,9;0;50,1;0,2;0,6
2911808;Guaratinga;Costa do Descobrimento;2000;18,9;6,8;0,2;70,8;0,3;3
2911857;Heliópolis;Semiárido Nordeste II;2000;23,3;4,1;0,3;72,2;;0,2
2911907;Iaçu;Piemonte do Paraguaçu;2000;22,5;11;1;63,3;0,1;2,1
2912004;Ibiassucê;Sertão Produtivo;2000;50,2;5,1;0;44;0,1;0,5
2912103;Ibicaraí;Litoral Sul;2000;21,5;8,9;0,3;68,1;0,6;0,6
2912202;Ibicoara;Chapada Diamantina;2000;43;11,6;0,1;44,7;;0,6
2912301;Ibicuí;Médio Sudoeste da Bahia;2000;25;9,1;0,2;65,2;0,2;0,3
2912400;Ibipeba;Irecê;2000;28;8,1;0,2;61,5;;2,3
2912509;Ibipitanga;Bacia do Paramirim;2000;59,9;3,4;0;33;0,2;3,5
2912608;Ibiquera;Piemonte do Paraguaçu;2000;19,8;10,9;0,1;67,7;;1,4
2912707;Ibirapitanga;Baixo Sul;2000;17,4;17,2;0,1;62,1;0,3;3
2912806;Ibirapoã;Extremo Sul;2000;28,4;10,2;0,3;59,7;0,4;1
2912905;Ibirataia;Médio Rio de Contas;2000;15,8;7,1;;75,8;0,1;1,2
2913002;Ibitiara;Chapada Diamantina;2000;20,1;16,7;3,8;58,7;0;0,7
2913101;Ibititá;Irecê;2000;29,8;8,8;;61;;0,3
2913200;Ibotirama;Velho Chico;2000;21,5;9,3;0,4;65,1;2;1,7
2913309;Ichu;Sisal;2000;37,4;14,8;0,1;46,9;0,5;0,2
2913408;Igaporã;Velho Chico;2000;51,4;20;;28,4;;0,1
2913457;Igrapiúna;Baixo Sul;2000;14,7;31,9;0,3;49,7;0,1;3,3
2913507;Iguaí;Médio Sudoeste da Bahia;2000;31,2;10,4;;58,1;0;0,3
2913606;Ilhéus;Litoral Sul;2000;18,4;12,9;0,1;67;0,7;0,9
2913705;Inhambupe;Litoral Norte e Agreste Baiano;2000;15,3;14,3;0,5;68,5;0,5;0,8
2913804;Ipecaetá;Portal do Sertão;2000;22;15,4;;60,4;0;2,2
2913903;Ipiaú;Médio Rio de Contas;2000;22,6;11,6;0;64,6;0,6;0,7
2914000;Ipirá;Bacia do Jacuípe;2000;25,6;13,8;0;59,9;0,2;0,4
2914109;Ipupiara;Irecê;2000;55,1;2,9;;41,4;0,2;0,4
2914208;Irajuba;Vale do Jiquiriçá;2000;25,4;11,2;0,3;61,6;0,5;1
2914307;Iramaia;Chapada Diamantina;2000;16,3;8,1;0,1;72,2;2,1;1,2
2914406;Iraquara;Chapada Diamantina;2000;21,9;5,9;0,1;71,3;0,1;0,8
2914505;Irará;Portal do Sertão;2000;9,7;21,2;0,1;68,3;0;0,7
2914604;Irecê;Irecê;2000;34,9;6;0,1;57,9;0,3;0,9
2914653;Itabela;Costa do Descobrimento;2000;25,9;10,5;0,2;62,4;0,7;0,3
2914703;Itaberaba;Piemonte do Paraguaçu;2000;23,2;11,7;0,1;64,3;0,4;0,4
2914802;Itabuna;Litoral Sul;2000;24,9;11,1;0,2;61,8;0,7;1,4
2914901;Itacaré;Litoral Sul;2000;13,5;15,2;0,2;69,4;1,1;0,5
2915007;Itaeté;Chapada Diamantina;2000;13,2;20;0,7;56,9;4,6;4,6
2915106;Itagi;Médio Rio de Contas;2000;26,3;11,2;0,1;61,7;0,1;0,5
2915205;Itagibá;Médio Rio de Contas;2000;20,8;12,2;0,3;65,9;0,2;0,7
2915304;Itagimirim;Costa do Descobrimento;2000;20,6;10,3;0,1;66,3;0,4;2,3
2915353;Itaguaçu da Bahia;Irecê;2000;24,5;5,2;;69,4;0,5;0,3
2915403;Itaju do Colônia;Litoral Sul;2000;24,5;8,8;;64,4;1,6;0,6
2915502;Itajuípe;Litoral Sul;2000;17,3;10,5;0,2;71;0,5;0,5
2915601;Itamaraju;Extremo Sul;2000;16,6;6;0,2;70,5;0,9;5,9
2915700;Itamari;Médio Rio de Contas;2000;17,2;8,7;;72,9;0,2;1
2915809;Itambé;Médio Sudoeste da Bahia;2000;29,7;10,6;;59;0,2;0,5
2915908;Itanagra;Litoral Norte e Agreste Baiano;2000;10,2;12,4;;76,4;0,1;1
2916005;Itanhém;Extremo Sul;2000;31,9;5,2;0,2;61,6;0,4;0,7
2916104;Itaparica;Metropolitano de Salvador;2000;10,1;15,7;0,6;71,9;0,8;0,8
2916203;Itapé;Litoral Sul;2000;16,6;8,6;0,3;73,7;0,4;0,5
2916302;Itapebi;Costa do Descobrimento;2000;21,4;6;;70,9;0,4;1,3
2916401;Itapetinga;Médio Sudoeste da Bahia;2000;29,6;8;0;61,5;0,5;0,4
2916500;Itapicuru;Litoral Norte e Agreste Baiano;2000;9,6;2,8;0,3;85,3;0;2,1
2916609;Itapitanga;Litoral Sul;2000;12,7;9,5;0,1;76,3;0,1;1,3
2916708;Itaquara;Vale do Jiquiriçá;2000;18,2;12,1;;68,5;0,3;0,9
2916807;Itarantim;Médio Sudoeste da Bahia;2000;30,4;9,4;0,2;57,9;0,1;2
2916856;Itatim;Piemonte do Paraguaçu;2000;23,7;8,1;0,2;67;;0,9
2916906;Itiruçu;Vale do Jiquiriçá;2000;24,1;8,1;0;67,3;0;0,5
2917003;Itiúba;Sisal;2000;18,1;4,8;0;76,2;0,1;0,7
2917102;Itororó;Médio Sudoeste da Bahia;2000;25,1;8;;66,1;0,2;0,6
2917201;Ituaçu;Sertão Produtivo;2000;55,8;4;0,4;38,6;0,1;1,2
