CodigodoMunicipio; Municipios;TerritoriosdeIdentidade;Ano;Branca;Preta;Amarela;Parda;Indigena;Ignorado
2904100;Boquira;Bacia do Paramirim;1991;28,7;3,2;;68;;0,1
2904209;Botuporã;Bacia do Paramirim;1991;14;8;0,2;77;;0,8
2904308;Brejões;Vale do Jiquiriçá;1991;8,3;7,1;0;84,6;;
2904407;Brejolândia;Bacia do Rio Corrente;1991;30,8;5;;64,1;;0,2
2904506;Brotas de Macaúbas;Velho Chico;1991;15,8;2,4;;81,4;;0,4
2904605;Brumado;Sertão Produtivo;1991;45,4;6,6;;47,3;0;0,6
2904704;Buerarema;Litoral Sul;1991;12,7;4,8;;82,4;0;0,1
2904753;Buritirama;Bacia do Rio Grande;1991;17,5;2,9;0,2;78,1;0,1;1,2
2904803;Caatiba;Médio Sudoeste da Bahia;1991;24,7;6,3;;68,5;0,1;0,4
2904852;Cabaceiras do Paraguaçu;Recôncavo;1991;6,7;29,9;;62,2;;1,2
2904902;Cachoeira;Recôncavo;1991;6,9;20,5;;72,4;;0,2
2905008;Caculé;Sertão Produtivo;1991;35;4,7;0,1;60;;0,3
2905107;Caém;Piemonte da Diamantina;1991;7,4;9,3;;82,4;;0,9
2905156;Caetanos;Sudoeste Baiano;1991;50,9;0,6;;48,4;;0,1
2905206;Caetité;Sertão Produtivo;1991;40,7;9,3;;49,8;;0,3
2905305;Cafarnaum;Irecê;1991;16,2;9,4;0,1;74,3;;0,1
2905404;Cairu;Baixo Sul;1991;3,7;8,5;;87,5;0,1;0,2
2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;1991;20,3;5,5;;73,7;;0,5
2905602;Camacan;Litoral Sul;1991;6,8;8,9;0,1;82,9;0,1;1,3
2905701;Camaçari;Metropolitano de Salvador;1991;12,7;11,3;0,2;75;0,1;0,8
2905800;Camamu;Baixo Sul;1991;15,5;19,7;0,5;63,8;0,2;0,2
2905909;Campo Alegre de Lourdes;Sertão do São Francisco;1991;27,5;6,8;;65,5;;0,3
2906006;Campo Formoso;Piemonte Norte do Itapicuru;1991;17,9;5,4;0,1;76,5;0;0
2906105;Canápolis;Bacia do Rio Corrente;1991;53,8;4,4;;41,8;;0,1
2906204;Canarana;Irecê;1991;23,1;7,3;0,1;69,5;;
2906303;Canavieiras;Litoral Sul;1991;11,8;11,6;0,1;76,1;0;0,4
2906402;Candeal;Sisal;1991;11,3;12,4;;75,6;;0,6
2906501;Candeias;Metropolitano de Salvador;1991;6,4;13,3;0,1;79,3;0,1;0,7
2906600;Candiba;Sertão Produtivo;1991;42,8;14;0,1;43,1;;0
2906709;Cândido Sales;Sudoeste Baiano;1991;29,2;6,9;0;63,6;;0,3
2906808;Cansanção;Sisal;1991;16;2,6;0;81,3;;0,1
2906824;Canudos;Sertão do São Francisco;1991;8;1,4;;89,7;;0,8
2906857;Capela do Alto Alegre;Bacia do Jacuípe;1991;23,1;6,8;;70;;0,1
2906873;Capim Grosso;Bacia do Jacuípe;1991;39,1;7,1;0,1;53,7;;0,1
2906899;Caraíbas;Sudoeste Baiano;1991;46,1;2;;51,6;;0,3
2906907;Caravelas;Extremo Sul;1991;14,4;11,2;0,1;73,1;0,2;1
2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;1991;16,7;18,1;;64,5;;0,7
2907103;Carinhanha;Velho Chico;1991;21,1;9,1;0,2;69,5;0,1;0
2907202;Casa Nova;Sertão do São Francisco;1991;28,3;8,1;0,6;62,7;0;0,3
2907301;Castro Alves;Recôncavo;1991;11,5;17,8;;70,3;;0,4
2907400;Catolândia;Bacia do Rio Grande;1991;24,7;7,1;;68,3;;
2907509;Catu;Litoral Norte e Agreste Baiano;1991;6,9;17,2;0;75;0,1;0,7
2907558;Caturama;Bacia do Paramirim;1991;67,7;9;;22;;1,3
2907608;Central;Irecê;1991;42,4;10,1;;46,9;;0,6
2907707;Chorrochó;Itaparica;1991;11,2;4,7;0,1;83,1;;0,9
2907806;Cícero Dantas;Semiárido Nordeste II;1991;48,9;6,1;;44,1;0,6;0,3
2907905;Cipó;Semiárido Nordeste II;1991;22,1;7,6;;69,8;;0,5
2908002;Coaraci;Litoral Sul;1991;19,8;4,9;0,4;72,4;0;2,5
