"";"Codigo.do.Municipio";"Municipios";"Territorios.de.Identidade";"Ano";"Cor";"PercentCor"
"40";2903300;"Barro Preto/Lomanto Junior";"Litoral Sul";1991;"Branca";14,3
"41";2903276;"Barrocas";"Sisal";1991;"Branca";NA
"42";2903409;"Belmonte";"Costa do Descobrimento";1991;"Branca";11,5
"43";2903508;"Belo Campo";"Sudoeste Baiano";1991;"Branca";24,8
"44";2903607;"Biritinga";"Sisal";1991;"Branca";6,5
"45";2903706;"Boa Nova";"Médio Rio de Contas";1991;"Branca";9,1
"46";2903805;"Boa Vista do Tupim";"Piemonte do Paraguaçu";1991;"Branca";13,2
"47";2903904;"Bom Jesus da Lapa";"Velho Chico";1991;"Branca";21
"48";2903953;"Bom Jesus da Serra";"Sudoeste Baiano";1991;"Branca";19,7
"49";2904001;"Boninal";"Chapada Diamantina";1991;"Branca";21,7
"50";2904050;"Bonito";"Chapada Diamantina";1991;"Branca";21,9
"51";2904100;"Boquira";"Bacia do Paramirim";1991;"Branca";28,7
"52";2904209;"Botuporã";"Bacia do Paramirim";1991;"Branca";14
"53";2904308;"Brejões";"Vale do Jiquiriçá";1991;"Branca";8,3
"54";2904407;"Brejolândia";"Bacia do Rio Corrente";1991;"Branca";30,8
"55";2904506;"Brotas de Macaúbas";"Velho Chico";1991;"Branca";15,8
"56";2904605;"Brumado";"Sertão Produtivo";1991;"Branca";45,4
"57";2904704;"Buerarema";"Litoral Sul";1991;"Branca";12,7
"58";2904753;"Buritirama";"Bacia do Rio Grande";1991;"Branca";17,5
"59";2904803;"Caatiba";"Médio Sudoeste da Bahia";1991;"Branca";24,7
"60";2904852;"Cabaceiras do Paraguaçu";"Recôncavo";1991;"Branca";6,7
"61";2904902;"Cachoeira";"Recôncavo";1991;"Branca";6,9
"62";2905008;"Caculé";"Sertão Produtivo";1991;"Branca";35
"63";2905107;"Caém";"Piemonte da Diamantina";1991;"Branca";7,4
"64";2905156;"Caetanos";"Sudoeste Baiano";1991;"Branca";50,9
"65";2905206;"Caetité";"Sertão Produtivo";1991;"Branca";40,7
"66";2905305;"Cafarnaum";"Irecê";1991;"Branca";16,2
"67";2905404;"Cairu";"Baixo Sul";1991;"Branca";3,7
"68";2905503;"Caldeirão Grande";"Piemonte Norte do Itapicuru";1991;"Branca";20,3
"69";2905602;"Camacan";"Litoral Sul";1991;"Branca";6,8
"70";2905701;"Camaçari";"Metropolitano de Salvador";1991;"Branca";12,7
"71";2905800;"Camamu";"Baixo Sul";1991;"Branca";15,5
"72";2905909;"Campo Alegre de Lourdes";"Sertão do São Francisco";1991;"Branca";27,5
"73";2906006;"Campo Formoso";"Piemonte Norte do Itapicuru";1991;"Branca";17,9
"74";2906105;"Canápolis";"Bacia do Rio Corrente";1991;"Branca";53,8
"75";2906204;"Canarana";"Irecê";1991;"Branca";23,1
"76";2906303;"Canavieiras";"Litoral Sul";1991;"Branca";11,8
"77";2906402;"Candeal";"Sisal";1991;"Branca";11,3
"78";2906501;"Candeias";"Metropolitano de Salvador";1991;"Branca";6,4
"79";2906600;"Candiba";"Sertão Produtivo";1991;"Branca";42,8
"80";2906709;"Cândido Sales";"Sudoeste Baiano";1991;"Branca";29,2
"81";2906808;"Cansanção";"Sisal";1991;"Branca";16
"82";2906824;"Canudos";"Sertão do São Francisco";1991;"Branca";8
"83";2906857;"Capela do Alto Alegre";"Bacia do Jacuípe";1991;"Branca";23,1
"84";2906873;"Capim Grosso";"Bacia do Jacuípe";1991;"Branca";39,1
"85";2906899;"Caraíbas";"Sudoeste Baiano";1991;"Branca";46,1
"86";2906907;"Caravelas";"Extremo Sul";1991;"Branca";14,4
"87";2907004;"Cardeal da Silva";"Litoral Norte e Agreste Baiano";1991;"Branca";16,7
"88";2907103;"Carinhanha";"Velho Chico";1991;"Branca";21,1
"89";2907202;"Casa Nova";"Sertão do São Francisco";1991;"Branca";28,3
"90";2907301;"Castro Alves";"Recôncavo";1991;"Branca";11,5
"91";2907400;"Catolândia";"Bacia do Rio Grande";1991;"Branca";24,7
"92";2907509;"Catu";"Litoral Norte e Agreste Baiano";1991;"Branca";6,9
"93";2907558;"Caturama";"Bacia do Paramirim";1991;"Branca";67,7
"94";2907608;"Central";"Irecê";1991;"Branca";42,4
"95";2907707;"Chorrochó";"Itaparica";1991;"Branca";11,2
"96";2907806;"Cícero Dantas";"Semiárido Nordeste II";1991;"Branca";48,9
"97";2907905;"Cipó";"Semiárido Nordeste II";1991;"Branca";22,1
"98";2908002;"Coaraci";"Litoral Sul";1991;"Branca";19,8
"99";2908101;"Côcos";"Bacia do Rio Corrente";1991;"Branca";53,5
"100";2908200;"Conceição da Feira";"Portal do Sertão";1991;"Branca";11,7
"101";2908309;"Conceição do Almeida";"Recôncavo";1991;"Branca";12,6
"102";2908408;"Conceição do Coité";"Sisal";1991;"Branca";26
"103";2908507;"Conceição do Jacuípe";"Portal do Sertão";1991;"Branca";5,4
"104";2908606;"Conde";"Litoral Norte e Agreste Baiano";1991;"Branca";13,2
"105";2908705;"Condeúba";"Sudoeste Baiano";1991;"Branca";34,5
"106";2908804;"Contendas do Sincorá";"Sertão Produtivo";1991;"Branca";14,1
"107";2908903;"Coração de Maria";"Portal do Sertão";1991;"Branca";9,1
"108";2909000;"Cordeiros";"Sudoeste Baiano";1991;"Branca";21,2
"109";2909109;"Coribe";"Bacia do Rio Corrente";1991;"Branca";35,9
