;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;local_natural;total_natural
406;2933109;Várzea do Poço;Bacia do Jacuípe;1991;natural.do.mun;8707
407;2933158;Várzea Nova;Piemonte da Diamantina;1991;natural.do.mun;13060
408;2933174;Varzedo;Recôncavo;1991;natural.do.mun;7557
409;2933208;Vera Cruz;Metropolitano de Salvador;1991;natural.do.mun;16465
410;2933257;Vereda;Extremo Sul;1991;natural.do.mun;6101
411;2933307;Vitória da Conquista;Sudoeste Baiano;1991;natural.do.mun;147629
412;2933406;Wagner;Chapada Diamantina;1991;natural.do.mun;4299
413;2933455;Wanderley;Bacia do Rio Grande;1991;natural.do.mun;11175
414;2933505;Wenceslau Guimarães;Baixo Sul;1991;natural.do.mun;14878
415;2933604;Xique-Xique;Irecê;1991;natural.do.mun;29460
416;2900108;Abaíra;Chapada Diamantina;2000;natural.do.mun;8017
417;2900207;Abaré;Itaparica;2000;natural.do.mun;10881
418;2900306;Acajutiba;Litoral Norte e Agreste Baiano;2000;natural.do.mun;10819
419;2900355;Adustina;Semiárido Nordeste II;2000;natural.do.mun;11615
420;2900405;Água Fria;Portal do Sertão;2000;natural.do.mun;12963
421;2900603;Aiquara;Médio Rio de Contas;2000;natural.do.mun;3733
422;2900702;Alagoinhas;Litoral Norte e Agreste Baiano;2000;natural.do.mun;93136
423;2900801;Alcobaça;Extremo Sul;2000;natural.do.mun;14510
424;2900900;Almadina;Litoral Sul;2000;natural.do.mun;4684
425;2901007;Amargosa;Vale do Jiquiriçá;2000;natural.do.mun;24630
426;2901106;Amélia Rodrigues;Portal do Sertão;2000;natural.do.mun;18498
427;2901155;América Dourada;Irecê;2000;natural.do.mun;12533
428;2901205;Anagé;Sudoeste Baiano;2000;natural.do.mun;29146
429;2901304;Andaraí;Chapada Diamantina;2000;natural.do.mun;11040
430;2901353;Andorinha;Piemonte Norte do Itapicuru;2000;natural.do.mun;12492
431;2901403;Angical;Bacia do Rio Grande;2000;natural.do.mun;12395
432;2901502;Anguera;Portal do Sertão;2000;natural.do.mun;7638
433;2901601;Antas;Semiárido Nordeste II;2000;natural.do.mun;12074
434;2901700;Antônio Cardoso;Portal do Sertão;2000;natural.do.mun;10959
435;2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;2000;natural.do.mun;7157
436;2901908;Aporá;Litoral Norte e Agreste Baiano;2000;natural.do.mun;13850
437;2901957;Apuarema;Médio Rio de Contas;2000;natural.do.mun;5251
438;2902054;Araçás;Litoral Norte e Agreste Baiano;2000;natural.do.mun;8605
439;2902005;Aracatu;Sudoeste Baiano;2000;natural.do.mun;14727
440;2902104;Araci;Sisal;2000;natural.do.mun;40956
441;2902203;Aramari;Litoral Norte e Agreste Baiano;2000;natural.do.mun;8005
442;2902252;Arataca;Litoral Sul;2000;natural.do.mun;6636
443;2902302;Aratuípe;Baixo Sul;2000;natural.do.mun;7081
444;2902401;Aurelino Leal;Litoral Sul;2000;natural.do.mun;12156
445;2902500;Baianópolis;Bacia do Rio Grande;2000;natural.do.mun;11001
446;2902609;Baixa Grande;Bacia do Jacuípe;2000;natural.do.mun;18526
447;2902658;Banzaê;Semiárido Nordeste II;2000;natural.do.mun;10104
448;2902708;Barra;Velho Chico;2000;natural.do.mun;40225
449;2902807;Barra da Estiva;Chapada Diamantina;2000;natural.do.mun;21887
450;2902906;Barra do Choça;Sudoeste Baiano;2000;natural.do.mun;29972
451;2903003;Barra do Mendes;Irecê;2000;natural.do.mun;11225
452;2903102;Barra do Rocha;Médio Rio de Contas;2000;natural.do.mun;5444
453;2903201;Barreiras;Bacia do Rio Grande;2000;natural.do.mun;61780
454;2903235;Barro Alto;Irecê;2000;natural.do.mun;9827
455;2903300;Barro Preto/Lomanto Junior;Litoral Sul;2000;natural.do.mun;6191
456;2903409;Belmonte;Costa do Descobrimento;2000;natural.do.mun;16391
457;2903508;Belo Campo;Sudoeste Baiano;2000;natural.do.mun;13827
458;2903607;Biritinga;Sisal;2000;natural.do.mun;12950
459;2903706;Boa Nova;Médio Rio de Contas;2000;natural.do.mun;18104
460;2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;2000;natural.do.mun;14768
461;2903904;Bom Jesus da Lapa;Velho Chico;2000;natural.do.mun;39691
462;2903953;Bom Jesus da Serra;Sudoeste Baiano;2000;natural.do.mun;9347
463;2904001;Boninal;Chapada Diamantina;2000;natural.do.mun;10875
464;2904050;Bonito;Chapada Diamantina;2000;natural.do.mun;8171
465;2904100;Boquira;Bacia do Paramirim;2000;natural.do.mun;20278
466;2904209;Botuporã;Bacia do Paramirim;2000;natural.do.mun;10793
467;2904308;Brejões;Vale do Jiquiriçá;2000;natural.do.mun;12112
468;2904407;Brejolândia;Bacia do Rio Corrente;2000;natural.do.mun;7499
469;2904506;Brotas de Macaúbas;Velho Chico;2000;natural.do.mun;12201
470;2904605;Brumado;Sertão Produtivo;2000;natural.do.mun;49073
471;2904704;Buerarema;Litoral Sul;2000;natural.do.mun;13768
472;2904753;Buritirama;Bacia do Rio Grande;2000;natural.do.mun;16376
473;2904803;Caatiba;Médio Sudoeste da Bahia;2000;natural.do.mun;14191
474;2904852;Cabaceiras do Paraguaçu;Recôncavo;2000;natural.do.mun;13684
475;2904902;Cachoeira;Recôncavo;2000;natural.do.mun;24678
476;2905008;Caculé;Sertão Produtivo;2000;natural.do.mun;16573
477;2905107;Caém;Piemonte da Diamantina;2000;natural.do.mun;10408
478;2905156;Caetanos;Sudoeste Baiano;2000;natural.do.mun;12590
479;2905206;Caetité;Sertão Produtivo;2000;natural.do.mun;40793
480;2905305;Cafarnaum;Irecê;2000;natural.do.mun;12228
481;2905404;Cairu;Baixo Sul;2000;natural.do.mun;9685
482;2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;2000;natural.do.mun;9714
483;2905602;Camacan;Litoral Sul;2000;natural.do.mun;20009
484;2905701;Camaçari;Metropolitano de Salvador;2000;natural.do.mun;80628
485;2905800;Camamu;Baixo Sul;2000;natural.do.mun;28386
486;2905909;Campo Alegre de Lourdes;Sertão do São Francisco;2000;natural.do.mun;24925
487;2906006;Campo Formoso;Piemonte Norte do Itapicuru;2000;natural.do.mun;55192
488;2906105;Canápolis;Bacia do Rio Corrente;2000;natural.do.mun;9266
489;2906204;Canarana;Irecê;2000;natural.do.mun;15983
490;2906303;Canavieiras;Litoral Sul;2000;natural.do.mun;27183
491;2906402;Candeal;Sisal;2000;natural.do.mun;9136
492;2906501;Candeias;Metropolitano de Salvador;2000;natural.do.mun;52083
493;2906600;Candiba;Sertão Produtivo;2000;natural.do.mun;10666
494;2906709;Cândido Sales;Sudoeste Baiano;2000;natural.do.mun;22484
495;2906808;Cansanção;Sisal;2000;natural.do.mun;27755
496;2906824;Canudos;Sertão do São Francisco;2000;natural.do.mun;10327
497;2906857;Capela do Alto Alegre;Bacia do Jacuípe;2000;natural.do.mun;10040
498;2906873;Capim Grosso;Bacia do Jacuípe;2000;natural.do.mun;14386
499;2906899;Caraíbas;Sudoeste Baiano;2000;natural.do.mun;15537
500;2906907;Caravelas;Extremo Sul;2000;natural.do.mun;14513
501;2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;2000;natural.do.mun;6056
502;2907103;Carinhanha;Velho Chico;2000;natural.do.mun;22790
