CD_GEOCMU;NM_MUNICIP;NM_TI;Ano2001;Ano2002;Ano2003;Ano2004;Ano2005;Ano2006;Ano2007;Ano2008;Ano2009;Ano2011;Ano2012;Ano2013;Ano2014;Ano2015;Ano2016;Ano2017;Ano2018;Ano2019;Ano2020
2920304;Malhada de Pedras;Sertão Produtivo;8565;8667;8779;9014;9145;9271;7620;7753;7677;8428;8389;8942;8918;8896;8875;8856;8430;8393;8359
2920403;Manoel Vitorino;Médio Rio de Contas;16667;16636;16605;16539;16503;16468;14262;14389;14138;14221;13948;14600;14618;14488;14364;14251;13397;13240;13087
2920452;Mansidão;Bacia do Rio Grande;11135;11205;11279;11434;11520;11603;11694;12142;12244;12707;12759;13598;13652;13761;13864;13959;13546;13643;13734
2920502;Maracás;Vale do Jiquiriçá;32159;32636;33078;34007;34520;35019;34221;35617;35990;24822;25024;24491;24156;23751;23373;23018;21295;20834;20393
2920601;Maragogipe;Recôncavo;40508;40630;40777;41085;41256;41421;42079;43620;43921;42967;43114;45740;45928;46106;46106;46260;44555;44677;44793
2920700;Maraú;Litoral Sul;18450;18549;18634;18812;18911;19007;17029;17386;17270;19158;19212;21016;21098;21175;21246;21313;20518;20570;20617
2920809;Marcionílio Souza;Chapada Diamantina;10416;10168;9886;9294;8967;8649;10716;11043;11061;10473;10447;11026;10962;10951;10941;10931;10434;10406;10380
2920908;Mascote;Litoral Sul;15691;15233;14835;13997;13534;13084;16061;16557;16590;14520;14257;15221;15131;14877;14800;14728;13931;13822;13717
2921005;Mata de São João;Metropolitano de Salvador;32800;32996;33194;33611;33842;34065;37201;38962;39585;40866;41527;44538;45194;45813;46392;46998;46014;46583;47126
2921054;Matina;Velho Chico;10375;10527;10659;10937;11091;11240;12322;12976;13245;11246;11342;12114;12217;12314;12404;12488;12116;12201;12283
2921104;Medeiros Neto;Extremo Sul;20980;20851;20673;20299;20092;19892;21866;22629;22752;21602;21642;23358;23420;23478;23535;23586;22659;22688;22716
2921203;Miguel Calmon;Piemonte da Diamantina;28682;28900;29193;30295;30618;30931;27213;27850;27724;26329;26188;27569;27627;27536;27600;27520;26159;26023;25894
2921302;Milagres;Vale do Jiquiriçá;12447;12650;12920;13488;13802;14106;11771;12100;12092;11057;10994;11569;11700;11659;11621;11585;11009;10950;10893
2921401;Mirangaba;Piemonte da Diamantina;14206;14179;14141;14061;14017;13974;17474;18436;18849;16445;16606;17714;17881;18039;18588;18729;18195;18338;18474
2921450;Mirante;Sudoeste Baiano;14380;14818;15353;16476;17097;17700;9174;8876;8375;10265;9902;10270;10081;9902;9735;9578;8844;8641;8447
2921500;Monte Santo;Sisal;54655;55240;55560;56231;56602;56962;52249;53577;53429;52178;52023;54884;54807;54733;52015;51953;49565;49418;49278
2921609;Morpará;Velho Chico;8738;8847;8962;9205;9340;9470;8586;8853;8871;8256;8233;8987;8977;8967;8958;8950;8542;8519;8497
2921708;Morro do Chapéu;Chapada Diamantina;34808;35068;35334;35894;36203;36503;34012;35009;35031;35208;35251;37326;36641;36717;36789;36856;35383;35413;35440
2921807;Mortugaba;Sudoeste Baiano;12556;12533;12503;12439;12404;12370;13905;14508;14692;12496;11729;12421;12450;12477;12505;12529;12031;12042;12052
2921906;Mucugê;Chapada Diamantina;14085;14386;14713;15400;15780;16148;14131;14629;14714;10342;10145;10568;10400;10244;10096;9957;9244;9062;8889
2922003;Mucuri;Extremo Sul;29291;30262;31283;33427;34613;35763;33143;34836;35501;36638;37229;39927;40514;41068;41587;42072;41221;41748;42251
2922052;Mulungu do Morro;Irecê;15286;15409;15544;15826;15982;16134;13755;14006;13879;11992;11743;12191;12398;12200;12159;11988;11114;10889;10673
2922102;Mundo Novo;Piemonte do Paraguaçu;20087;19257;18321;16357;15270;14217;23822;24895;25245;24635;24867;26518;26935;27165;27165;27364;26575;26776;26970
2922201;Muniz Ferreira;Recôncavo;7022;7080;7145;7280;7355;7428;6990;7214;7236;7346;7374;7825;7860;7893;7650;7678;7399;7422;7443
2922250;Muquém de São Francisco;Velho Chico;9151;9219;9297;9460;9550;9638;10096;10547;10691;10354;10433;11465;11552;11495;11571;11644;11280;11348;11417
