;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;situacao_conjugal;total_civil
215;2918209;Jiquiriçá;Vale do Jiquiriçá;2000;casado;2394
216;2918308;Jitaúna;Médio Rio de Contas;2000;casado;3998
217;2918357;João Dourado;Irecê;2000;casado;4623
218;2918407;Juazeiro;Sertão do São Francisco;2000;casado;46645
219;2918456;Jucuruçu;Extremo Sul;2000;casado;1956
220;2918506;Jussara;Irecê;2000;casado;3646
221;2918555;Jussari;Litoral Sul;2000;casado;1345
222;2918605;Jussiape;Chapada Diamantina;2000;casado;2993
223;2918704;Lafayette Coutinho;Vale do Jiquiriçá;2000;casado;995
224;2919058;Lagedo do Tabocal;Vale do Jiquiriçá;2000;casado;1360
225;2918753;Lagoa Real;Sertão Produtivo;2000;casado;4197
226;2918803;Laje;Vale do Jiquiriçá;2000;casado;4442
227;2918902;Lajedão;Extremo Sul;2000;casado;840
228;2919009;Lajedinho;Piemonte do Paraguaçu;2000;casado;895
229;2919108;Lamarão;Sisal;2000;casado;1813
230;2919157;Lapão;Irecê;2000;casado;6181
231;2919207;Lauro de Freitas;Metropolitano de Salvador;2000;casado;23368
232;2919306;Lençóis;Chapada Diamantina;2000;casado;1077
233;2919405;Licínio de Almeida;Sudoeste Baiano;2000;casado;4435
234;2919504;Livramento de N. Senhora;Sertão Produtivo;2000;casado;13001
235;2919553;Luís Eduardo Magalhães;Bacia do Rio Grande;2000;casado;NA
236;2919603;Macajuba;Piemonte do Paraguaçu;2000;casado;2206
237;2919702;Macarani;Médio Sudoeste da Bahia;2000;casado;3282
238;2919801;Macaúbas;Bacia do Paramirim;2000;casado;10543
239;2919900;Macururé;Itaparica;2000;casado;2527
240;2919926;Madre de Deus;Metropolitano de Salvador;2000;casado;3033
241;2919959;Maetinga;Sudoeste Baiano;2000;casado;4915
242;2920007;Maiquinique;Médio Sudoeste da Bahia;2000;casado;1961
243;2920106;Mairi;Bacia do Jacuípe;2000;casado;4679
244;2920205;Malhada;Velho Chico;2000;casado;4257
245;2920304;Malhada de Pedras;Sertão Produtivo;2000;casado;2396
246;2920403;Manoel Vitorino;Médio Rio de Contas;2000;casado;2859
247;2920452;Mansidão;Bacia do Rio Grande;2000;casado;3199
248;2920502;Maracás;Vale do Jiquiriçá;2000;casado;5227
249;2920601;Maragogipe;Recôncavo;2000;casado;8419
250;2920700;Maraú;Litoral Sul;2000;casado;1433
251;2920809;Marcionílio Souza;Chapada Diamantina;2000;casado;2483
252;2920908;Mascote;Litoral Sul;2000;casado;2401
253;2921005;Mata de São João;Metropolitano de Salvador;2000;casado;5279
254;2921054;Matina;Velho Chico;2000;casado;3588
255;2921104;Medeiros Neto;Extremo Sul;2000;casado;5252
256;2921203;Miguel Calmon;Piemonte da Diamantina;2000;casado;7684
257;2921302;Milagres;Vale do Jiquiriçá;2000;casado;2015
258;2921401;Mirangaba;Piemonte da Diamantina;2000;casado;3232
259;2921450;Mirante;Sudoeste Baiano;2000;casado;2699
260;2921500;Monte Santo;Sisal;2000;casado;11397
261;2921609;Morpará;Velho Chico;2000;casado;2501
262;2921708;Morro do Chapéu;Chapada Diamantina;2000;casado;8262
263;2921807;Mortugaba;Sudoeste Baiano;2000;casado;3602
264;2921906;Mucugê;Chapada Diamantina;2000;casado;3655
265;2922003;Mucuri;Extremo Sul;2000;casado;6127
266;2922052;Mulungu do Morro;Irecê;2000;casado;1561
267;2922102;Mundo Novo;Piemonte do Paraguaçu;2000;casado;4711
268;2922201;Muniz Ferreira;Recôncavo;2000;casado;1239
269;2922250;Muquém do São Francisco;Velho Chico;2000;casado;1847
270;2922300;Muritiba;Recôncavo;2000;casado;7495
