Codigo do Municipio;Municipios;Territorios Identidade;Total;Nascidos vivos;Nascidos mortos;percentual_nascidosvivos
2930709;Simões Filho;Metropolitano de Salvador;94064;89388;4676;0,049710835
2930758;Sítio do Mato;Velho Chico;13492;12798;694;0,051437889
2930766;Sítio do Quinto;Semiárido Nordeste II;12142;11455;687;0,056580465
2930774;Sobradinho;Sertão do São Francisco;23988;22589;1399;0,058320827
2930808;Souto Soares;Chapada Diamantina;17554;16844;710;0,040446622
2930907;Tabocas do Brejo Velho;Bacia do Rio Corrente;12927;12420;507;0,039220237
2931004;Tanhaçu;Sertão Produtivo;20556;19719;836;0,040669391
2931053;Tanque Novo;Sertão Produtivo;15862;15288;575;0,036250158
2931103;Tanquinho;Portal do Sertão;8280;8068;212;0,025603865
2931202;Taperoá;Baixo Sul;19117;17854;1263;0,066066851
2931301;Tapiramutá;Piemonte do Paraguaçu;16740;15871;869;0,051911589
2931350;Teixeira de Freitas;Extremo Sul;131248;125045;6204;0,047269292
2931400;Teodoro Sampaio;Portal do Sertão;9786;9188;598;0,061107705
2931509;Teofilândia;Sisal;23328;21829;1499;0,064257545
2931608;Teolândia;Baixo Sul;14527;13626;901;0,062022441
2931707;Terra Nova;Portal do Sertão;14105;13401;704;0,049911379
2931806;Tremedal;Sudoeste Baiano;21218;20040;1177;0,055471769
2931905;Tucano;Sisal;61266;57525;3741;0,0610616
2932002;Uauá;Sertão do São Francisco;26320;24951;1369;0,052013678
2932101;Ubaíra;Vale do Jiquiriçá;20099;18934;1165;0,057963083
2932200;Ubaitaba;Litoral Sul;22816;21388;1428;0,062587658
2932309;Ubatã;Médio Rio de Contas;25901;24258;1643;0,063433844
2932408;Uibaí;Irecê;15478;14849;629;0,040638325
2932457;Umburanas;Piemonte da Diamantina;16720;16338;382;0,02284689
2932507;Una;Litoral Sul;24967;23350;1617;0,06476549
2932606;Urandi;Sertão Produtivo;18475;17344;1131;0,061217862
2932705;Uruçuca;Litoral Sul;22422;20554;1868;0,083311034
2932804;Utinga;Chapada Diamantina;18816;17901;915;0,048628827
2932903;Valença;Baixo Sul;87602;83385;4218;0,048149586
2933000;Valente;Sisal;25902;24681;1221;0,047139217
2933059;Várzea da Roça;Bacia do Jacuípe;16748;16038;709;0,042333413
2933109;Várzea do Poço;Bacia do Jacuípe;9588;9240;348;0,036295369
2933158;Várzea Nova;Piemonte da Diamantina;16494;15700;793;0,048078089
2933174;Varzedo;Recôncavo;9277;8562;715;0,077072329
2933208;Vera Cruz;Metropolitano de Salvador;36709;34663;2046;0,055735651
2933257;Vereda;Extremo Sul;8519;7974;545;0,063974645
2933307;Vitória da Conquista;Sudoeste Baiano;277677;263881;13796;0,049683625
2933406;Wagner;Chapada Diamantina;10621;10012;609;0,057339234
2933455;Wanderley;Bacia do Rio Grande;14400;13892;508;0,035277778
2933505;Wenceslau Guimarães;Baixo Sul;23255;21449;1806;0,077660718
2933604;Xique-Xique;Irecê;47894;45527;2367;0,049421639
