Codigo do Municipio;Municipios;Territorios Identidade;Total;Nascidos vivos;Nascidos mortos;percentual_nascidosvivos
2902302;Aratuípe;Baixo Sul;8799;8166;633;0,071939993
2902401;Aurelino Leal;Litoral Sul;13546;12625;921;0,067990551
2902500;Baianópolis;Bacia do Rio Grande;15056;14499;557;0,036995218
2902609;Baixa Grande;Bacia do Jacuípe;24688;23712;976;0,039533377
2902658;Banzaê;Semiárido Nordeste II;12306;11773;533;0,043312205
2902708;Barra;Velho Chico;52004;49362;2643;0,050823014
2902807;Barra da Estiva;Chapada Diamantina;20129;19177;952;0,047294948
2902906;Barra do Choça;Sudoeste Baiano;36161;34199;1963;0,054285003
2903003;Barra do Mendes;Irecê;15647;15227;419;0,026778296
2903102;Barra do Rocha;Médio Rio de Contas;6978;6461;517;0,074089997
2903201;Barreiras;Bacia do Rio Grande;111821;106679;5141;0,045975264
2903235;Barro Alto;Irecê;15070;14322;748;0,049635036
2903300;Barro Preto/Lomanto Junior;Litoral Sul;7039;6678;361;0,051285694
2903276;Barrocas;Sisal;16501;15744;757;0,045876008
2903409;Belmonte;Costa do Descobrimento;23446;22318;1128;0,048110552
2903508;Belo Campo;Sudoeste Baiano;19091;18250;841;0,044052171
2903607;Biritinga;Sisal;17958;16929;1029;0,057300368
2903706;Boa Nova;Médio Rio de Contas;19580;18472;1108;0,056588355
2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;22562;21132;1430;0,063380906
2903904;Bom Jesus da Lapa;Velho Chico;61499;58375;3124;0,050797574
2903953;Bom Jesus da Serra;Sudoeste Baiano;12131;11376;755;0,062237243
2904001;Boninal;Chapada Diamantina;14593;13866;727;0,049818406
2904050;Bonito;Chapada Diamantina;15551;14493;1058;0,06803421
2904100;Boquira;Bacia do Paramirim;24512;23223;1289;0,052586488
2904209;Botuporã;Bacia do Paramirim;11990;11610;380;0,031693078
2904308;Brejões;Vale do Jiquiriçá;15338;14304;1034;0,067414265
