codigo_ibge;nome;latitude;longitude;lat_teste;long_teste
2911006;Floresta Azul;-148.629;-396.579;-1,48629E+17;-3,96579E+17
2911105;Formosa do Rio Preto;-110.328;-45.193;-1,10328E+17;-4,5193E+16
2911204;Gandu;-137.441;-394.747;-1,37441E+17;-3,94747E+17
2911253;Gavião;-114.688;-397.757;-1,14688E+17;-3,97757E+17
2911303;Gentio do Ouro;-114.342;-425.077;-1,14342E+17;-4,25077E+17
2911402;Glória;-934.382;-382.544;-9,34382E+17;-3,82544E+17
2911501;Gongogi;-143.195;-39.469;-1,43195E+17;-3,9469E+17
2911600;Governador Mangabeira;-125.994;-390.412;-1,25994E+17;-3,90412E+17
2911659;Guajeru;-145.467;-419.381;-1,45467E+17;-4,19381E+17
2911709;Guanambi;-142.231;-427.799;-1,42231E+17;-4,27799E+17
2911808;Guaratinga;-165.833;-397.847;-1,65833E+17;-3,97847E+17
2911857;Heliópolis;-106.825;-382.907;-1,06825E+17;-3,82907E+17
2911907;Iaçu;-127.666;-402.056;-1,27666E+17;-4,02056E+17
2912004;Ibiassucê;-142.711;-42.257;-1,42711E+17;-4,2257E+16
2912103;Ibicaraí;-148.579;-395.914;-1,48579E+17;-3,95914E+17
2912202;Ibicoara;-134.059;-41.284;-1,34059E+17;-4,1284E+17
2912301;Ibicuí;-14.845;-399.879;-1,4845E+16;-3,99879E+17
2912400;Ibipeba;-116.438;-420.195;-1,16438E+17;-4,20195E+17
2912509;Ibipitanga;-128.804;-424.856;-1,28804E+17;-4,24856E+17
2912608;Ibiquera;-126.444;-409.338;-1,26444E+17;-4,09338E+17
2912707;Ibirapitanga;-141.649;-393.787;-1,41649E+17;-3,93787E+17
2912806;Ibirapuã;-176.832;-401.129;-1,76832E+17;-4,01129E+17
2912905;Ibirataia;-140.643;-396.459;-1,40643E+17;-3,96459E+17
2913002;Ibitiara;-126.502;-422.179;-1,26502E+17;-4,22179E+17
2913101;Ibititá;-115.414;-419.748;-1,15414E+17;-4,19748E+17
2913200;Ibotirama;-121.779;-432.167;-1,21779E+17;-4,32167E+17
2913309;Ichu;-117.431;-391.905;-1,17431E+17;-3,91905E+17
2913408;Igaporã;-13.774;-427.155;-1,3774E+16;-4,27155E+17
2913457;Igrapiúna;-138.295;-391.361;-1,38295E+17;-3,91361E+17
2913507;Iguaí;-147.528;-400.894;-1,47528E+17;-4,00894E+17
2913606;Ilhéus;-14.793;-39.046;-1,4793E+16;-3,9046E+16
